"No.","Time","Source","Destination","Protocol","Length","Info"
"14","2.460802","142.250.204.110","10.203.218.28","TLSv1.2","127","Application Data"
"20","2.495849","142.250.204.110","10.203.218.28","TCP","54","443  >  50373 [FIN, ACK] Seq=74 Ack=2 Win=1047 Len=0"
"22","3.085338","142.250.204.110","10.203.218.28","TLSv1.2","127","Application Data"
"24","3.121250","142.250.204.110","10.203.218.28","TCP","54","443  >  50377 [FIN, ACK] Seq=74 Ack=2 Win=1049 Len=0"
"10938","11.024180","142.250.204.110","10.203.218.28","QUIC","1292","Initial, SCID=fe127479c087e210, PKN: 1, ACK, PADDING"
"10939","11.024180","142.250.204.110","10.203.218.28","QUIC","1292","Protected Payload (KP0)"
"10940","11.024180","142.250.204.110","10.203.218.28","QUIC","863","Protected Payload (KP0)"
"10941","11.024180","142.250.204.110","10.203.218.28","QUIC","205","Protected Payload (KP0)"
"10944","11.024180","142.250.204.110","10.203.218.28","QUIC","66","Protected Payload (KP0)"
"10949","11.075823","142.250.204.110","10.203.218.28","QUIC","162","Protected Payload (KP0)"
"10950","11.075823","142.250.204.110","10.203.218.28","QUIC","69","Protected Payload (KP0)"
"10952","11.102070","142.250.204.110","10.203.218.28","QUIC","592","Protected Payload (KP0)"
"10953","11.102070","142.250.204.110","10.203.218.28","QUIC","63","Protected Payload (KP0)"
"10956","11.171071","142.250.204.110","10.203.218.28","QUIC","66","Protected Payload (KP0)"
"10992","12.546510","142.250.204.110","10.203.218.28","QUIC","70","Protected Payload (KP0)"
"10997","12.584364","142.250.204.110","10.203.218.28","QUIC","111","Protected Payload (KP0)"
"10998","12.584364","142.250.204.110","10.203.218.28","QUIC","82","Protected Payload (KP0)"
"11002","12.636375","142.250.204.110","10.203.218.28","QUIC","65","Protected Payload (KP0)"
"11054","12.999355","142.250.204.110","10.203.218.28","QUIC","71","Protected Payload (KP0)"
"11057","12.999355","142.250.204.110","10.203.218.28","QUIC","111","Protected Payload (KP0)"
"11092","13.077314","142.250.204.110","10.203.218.28","QUIC","66","Protected Payload (KP0)"
"11688","17.605218","142.250.204.110","10.203.218.28","QUIC","70","Protected Payload (KP0)"
"11689","17.605218","142.250.204.110","10.203.218.28","QUIC","111","Protected Payload (KP0)"
"11690","17.605218","142.250.204.110","10.203.218.28","QUIC","63","Protected Payload (KP0)"
"11695","17.682369","142.250.204.110","10.203.218.28","QUIC","66","Protected Payload (KP0)"
"11790","17.866140","142.250.204.110","10.203.218.28","QUIC","70","Protected Payload (KP0)"
"11795","17.866140","142.250.204.110","10.203.218.28","QUIC","82","Protected Payload (KP0)"
"11796","17.866140","142.250.204.110","10.203.218.28","QUIC","63","Protected Payload (KP0)"
"11843","17.964873","142.250.204.110","10.203.218.28","QUIC","65","Protected Payload (KP0)"
"12078","19.225413","142.250.204.110","10.203.218.28","QUIC","1292","Initial, SCID=ed7773e767a8a097, PKN: 1, ACK, PADDING"
"12079","19.225413","142.250.204.110","10.203.218.28","QUIC","1292","Protected Payload (KP0)"
"12080","19.225413","142.250.204.110","10.203.218.28","QUIC","865","Protected Payload (KP0)"
"12081","19.225413","142.250.204.110","10.203.218.28","QUIC","193","Protected Payload (KP0)"
"12082","19.225413","142.250.204.110","10.203.218.28","QUIC","66","Protected Payload (KP0)"
"12083","19.225413","142.250.204.110","10.203.218.28","QUIC","64","Protected Payload (KP0)"
"12087","19.282123","142.250.204.110","10.203.218.28","QUIC","162","Protected Payload (KP0)"
"12090","19.557629","142.250.204.110","10.203.218.28","QUIC","1292","Protected Payload (KP0)"
"12091","19.557629","142.250.204.110","10.203.218.28","QUIC","174","Protected Payload (KP0)"
"12092","19.557629","142.250.204.110","10.203.218.28","QUIC","167","Protected Payload (KP0)"
"12100","19.607007","142.250.204.110","10.203.218.28","QUIC","65","Protected Payload (KP0)"
"13574","21.446290","142.250.204.110","10.203.218.28","QUIC","1292","Initial, SCID=ff9fdb328774815a, PKN: 1, ACK, PADDING"
"13575","21.446290","142.250.204.110","10.203.218.28","QUIC","1292","Protected Payload (KP0)"
"13576","21.446290","142.250.204.110","10.203.218.28","QUIC","852","Protected Payload (KP0)"
"13577","21.446290","142.250.204.110","10.203.218.28","QUIC","206","Protected Payload (KP0)"
"13578","21.446290","142.250.204.110","10.203.218.28","QUIC","66","Protected Payload (KP0)"
"13585","21.492031","142.250.204.110","10.203.218.28","QUIC","162","Protected Payload (KP0)"
"13586","21.492031","142.250.204.110","10.203.218.28","QUIC","69","Protected Payload (KP0)"
"13587","21.492031","142.250.204.110","10.203.218.28","QUIC","65","Protected Payload (KP0)"
"13588","21.492031","142.250.204.110","10.203.218.28","QUIC","65","Protected Payload (KP0)"
"13590","21.514676","142.250.204.110","10.203.218.28","QUIC","66","Protected Payload (KP0)"
"13591","21.782269","142.250.204.110","10.203.218.28","QUIC","1114","Protected Payload (KP0)"
"13593","21.783576","142.250.204.110","10.203.218.28","QUIC","191","Protected Payload (KP0)"
"13595","21.828606","142.250.204.110","10.203.218.28","QUIC","1114","Protected Payload (KP0)"
"13597","21.853291","142.250.204.110","10.203.218.28","QUIC","66","Protected Payload (KP0)"
"13610","23.557503","142.250.204.110","10.203.218.28","QUIC","69","Protected Payload (KP0)"
"13611","23.562106","142.250.204.110","10.203.218.28","QUIC","67","Protected Payload (KP0)"
"13612","23.565329","142.250.204.110","10.203.218.28","QUIC","69","Protected Payload (KP0)"
"13613","23.586992","142.250.204.110","10.203.218.28","QUIC","69","Protected Payload (KP0)"
"13615","23.661310","142.250.204.110","10.203.218.28","UDP","1292","443  >  59298 Len=1250"
"13616","23.661310","142.250.204.110","10.203.218.28","QUIC","111","Protected Payload (KP0)"
"13621","23.664965","142.250.204.110","10.203.218.28","QUIC","64","Protected Payload (KP0)"
"13623","23.743516","142.250.204.110","10.203.218.28","UDP","65","443  >  59298 Len=23"
"13624","23.749875","142.250.204.110","10.203.218.28","UDP","88","443  >  59298 Len=46"
"13626","23.764626","142.250.204.110","10.203.218.28","UDP","66","443  >  59298 Len=24"
"19332","30.171867","142.250.204.110","10.203.218.28","QUIC","1292","Initial, SCID=f5d5a4e265673349, PKN: 1, ACK, CRYPTO, PADDING"
"19401","30.174739","142.250.204.110","10.203.218.28","QUIC","1292","Handshake, SCID=f5d5a4e265673349"
"19402","30.174739","142.250.204.110","10.203.218.28","QUIC","1292","Handshake, SCID=f5d5a4e265673349"
"20107","30.208514","142.250.204.110","10.203.218.28","QUIC","1292","Handshake, SCID=f5d5a4e265673349"
"20108","30.208514","142.250.204.110","10.203.218.28","QUIC","880","Protected Payload (KP0)"
"20840","30.260574","142.250.204.110","10.203.218.28","QUIC","993","Protected Payload (KP0)"
"20841","30.260574","142.250.204.110","10.203.218.28","QUIC","163","Protected Payload (KP0)"
"20909","30.263131","142.250.204.110","10.203.218.28","QUIC","69","Protected Payload (KP0)"
"20910","30.263131","142.250.204.110","10.203.218.28","QUIC","67","Protected Payload (KP0)"
"20911","30.263131","142.250.204.110","10.203.218.28","QUIC","67","Protected Payload (KP0)"
"20912","30.263131","142.250.204.110","10.203.218.28","QUIC","67","Protected Payload (KP0)"
"20913","30.263131","142.250.204.110","10.203.218.28","QUIC","67","Protected Payload (KP0)"
"20914","30.263131","142.250.204.110","10.203.218.28","QUIC","67","Protected Payload (KP0)"
"20915","30.263131","142.250.204.110","10.203.218.28","QUIC","67","Protected Payload (KP0)"
"20916","30.263131","142.250.204.110","10.203.218.28","QUIC","65","Protected Payload (KP0)"
"21023","30.275068","142.250.204.110","10.203.218.28","QUIC","65","Protected Payload (KP0)"
"21024","30.275068","142.250.204.110","10.203.218.28","QUIC","65","Protected Payload (KP0)"
"21113","30.279550","142.250.204.110","10.203.218.28","QUIC","65","Protected Payload (KP0)"
"21114","30.279550","142.250.204.110","10.203.218.28","QUIC","65","Protected Payload (KP0)"
"21147","30.279550","142.250.204.110","10.203.218.28","QUIC","65","Protected Payload (KP0)"
"21664","30.308339","142.250.204.110","10.203.218.28","QUIC","66","Protected Payload (KP0)"
"21965","30.328072","142.250.204.110","10.203.218.28","QUIC","65","Protected Payload (KP0)"
"23448","30.467990","142.250.204.110","10.203.218.28","QUIC","534","Protected Payload (KP0)"
"23450","30.484751","142.250.204.110","10.203.218.28","QUIC","183","Protected Payload (KP0)"
"23454","30.534924","142.250.204.110","10.203.218.28","QUIC","66","Protected Payload (KP0)"
"23457","30.616180","142.250.204.110","10.203.218.28","QUIC","63","Protected Payload (KP0)"
"23465","30.957708","142.250.204.110","10.203.218.28","QUIC","63","Protected Payload (KP0)"
"23470","31.228556","142.250.204.110","10.203.218.28","QUIC","63","Protected Payload (KP0)"
"23482","33.158092","142.250.204.110","10.203.218.28","QUIC","69","Protected Payload (KP0)"
"23483","33.158092","142.250.204.110","10.203.218.28","QUIC","67","Protected Payload (KP0)"
"23485","33.477516","142.250.204.110","10.203.218.28","QUIC","475","Protected Payload (KP0)"
